Functional_Group,final_model,AIC,interaction_est,interaction_SE,interaction_z,interaction_p
HTLP,m_nb,902.6304628034763,0.12893740743912915,0.2214983538206341,0.582114517851183,0.5604895468854745
Invertivore,m_nb_zi,1394.4222801641936,0.08713412685134418,0.09227380263627095,0.9442997293046805,0.34501650423661634
Mesopredator,m_nb_boats,1451.4748535811316,-0.01770119529654814,0.09054907448696345,-0.19548731333633476,0.8450114685797087
Grazer,m_nb_zi,1845.6713912144826,0.13624536947580332,0.06052594885321947,2.2510240988738537,0.024384011078231693
